order_year_month,total_orders,total_revenue,avg_order_value
2016-09,1,134.97,44.99
2016-10,265,40325.11,128.83421725239617
2016-12,1,10.9,10.9
2017-01,750,111798.36,122.45165388828039
2017-02,1653,234223.4,126.062109795479
2017-03,2546,359198.85,123.98993786675871
2017-04,2303,340669.68,132.60789412222655
2017-05,3546,489338.25,122.21235014985015
2017-06,3135,421923.37,120.92959873889366
2017-07,3872,481604.52,109.05899456521739
2017-08,4193,554699.7,115.63470919324577
2017-09,4150,607399.67,128.22454507071987
2017-10,4478,648247.65,124.32827963176065
2017-11,7289,987765.37,116.55048613569322
2017-12,5513,726033.1900000001,117.34818005495394
2018-01,7069,924645.0,115.04852556924226
2018-02,6555,826437.13,109.9277906358074
2018-03,7003,953356.25,118.91683297991767
2018-04,6798,973534.09,124.38151143477705
2018-05,6749,977544.6900000001,125.1657733674776
2018-06,6099,856077.86,122.12237660485022
2018-07,6159,867953.46,124.65222748815165
2018-08,6351,838576.64,117.4148193783254
